cluster_id	Amplitude	ContamPct	KSLabel	amp	ch	depth	fr	group	n_spikes	sh
264	2274.70000000	100.00000000	mua	86.25508118	37	400.00000000	0.14056066	mua	355	0
265	1801.70000000	100.00000000	mua	81.36589050	36	380.00000000	0.58362369	good	1474	0
266	1664.20000000	100.00000000	mua	65.07141876	38	400.00000000	0.05464048	mua	138	0
267	2095.80000000	100.00000000	good	89.93719482	37	400.00000000	0.49651568	good	1254	0
268	1849.90000000	100.00000000	mua	80.03503418	36	380.00000000	0.16550523	good	418	0
269	1317.60000000	100.00000000	mua	64.45220947	37	400.00000000	3.01274945	good	7609	0
270	2562.50000000	100.00000000	mua	98.46953583	39	420.00000000	0.06691479	mua	169	0
272	2344.10000000	100.00000000	good	97.69437408	39	420.00000000	0.36308204	mua	917	0
273	2313.40000000	100.00000000	mua	95.48857880	39	420.00000000	0.09463098	mua	239	0
274	1863.30000000	100.00000000	mua	84.42029572	39	420.00000000	0.05859994	mua	148	0
275	2703.70000000	100.00000000	mua	139.53112793	40	420.00000000	0.14254039	good	360	0
276	2467.10000000	100.00000000	good	128.10293579	39	420.00000000	0.35080773	mua	886	0
278	2768.90000000	100.00000000	mua	82.90837097	43	460.00000000	1.41431739	mua	3572	0
279	2879.80000000	100.00000000	mua	73.89554596	42	440.00000000	0.06295534	mua	159	0
280	1981.30000000	100.00000000	good	55.90971375	42	440.00000000	0.56580615	mua	1429	0
281	2881.70000000	100.00000000	mua	104.70758820	41	440.00000000	2.19710168	good	5549	0
282	4584.20000000	100.00000000	good	112.35348511	41	440.00000000	0.72260057	good	1825	0
286	2846.70000000	100.00000000	mua	86.83648682	43	460.00000000	0.44702249	good	1129	0
287	2619.10000000	100.00000000	mua	97.09071350	41	440.00000000	2.40695280	good	6079	0
288	2188.10000000	100.00000000	good	75.22505951	41	440.00000000	0.14649984	mua	370	0
290	1713.50000000	100.00000000	good	76.80656433	41	440.00000000	2.30915426	good	5832	0
291	1701.30000000	100.00000000	good	76.94474792	41	440.00000000	1.48875515	good	3760	0
292	1853.40000000	100.00000000	mua	85.50093079	41	440.00000000	1.57309154	good	3973	0
294	3045.30000000	100.00000000	mua	89.10134888	43	460.00000000	0.12036744	mua	304	0
298	1803.60000000	100.00000000	mua	71.78215027	44	460.00000000	0.85959772	good	2171	0
300	1548.80000000	100.00000000	mua	68.25177002	41	440.00000000	0.15125119	mua	382	0
302	1434.40000000	100.00000000	mua	63.05821991	41	440.00000000	0.08314856	good	210	0
304	2400.70000000	100.00000000	mua	82.82145691	41	440.00000000	0.05068103	mua	128	0
305	2010.20000000	100.00000000	mua	75.52562714	43	460.00000000	0.22172949	mua	560	0
307	1718.20000000	100.00000000	mua	53.27487183	44	460.00000000	0.05899588	mua	149	0
309	1559.40000000	100.00000000	mua	80.64266968	44	460.00000000	1.49786189	good	3783	0
314	1726.10000000	100.00000000	mua	67.72096252	44	460.00000000	0.04988914	mua	126	0
316	1150.10000000	100.00000000	good	51.08356476	40	420.00000000	0.17936332	good	453	0
317	3016.20000000	100.00000000	mua	139.43696594	42	440.00000000	0.24231866	mua	612	0
318	2963.80000000	100.00000000	mua	120.74275970	44	460.00000000	0.04078239	mua	103	0
319	2700.10000000	100.00000000	mua	130.78952026	44	460.00000000	0.05622426	mua	142	0
320	2775.80000000	100.00000000	mua	124.06793213	44	460.00000000	0.05186886	mua	131	0
321	1762.30000000	100.00000000	mua	85.73730469	40	420.00000000	0.68815331	good	1738	0
323	4761.40000000	100.00000000	good	111.17689514	48	500.00000000	1.95399113	good	4935	0
324	3605.30000000	100.00000000	good	88.82972717	44	460.00000000	2.67777954	good	6763	0
326	2878.90000000	100.00000000	mua	92.45436859	44	460.00000000	2.62155527	good	6621	0
327	3300.20000000	100.00000000	good	72.49585724	43	460.00000000	1.15299335	good	2912	0
328	3265.50000000	100.00000000	good	82.29252625	45	480.00000000	2.61403231	mua	6602	0
329	3801.50000000	100.00000000	good	89.46342468	45	480.00000000	1.06509344	good	2690	0
334	3539.90000000	100.00000000	good	83.64665222	43	460.00000000	0.57055749	mua	1441	0
341	2944.70000000	100.00000000	mua	84.89469910	43	460.00000000	0.43989547	good	1111	0
348	2644.40000000	100.00000000	good	93.17123413	45	480.00000000	0.75744378	good	1913	0
351	1882.80000000	100.00000000	mua	73.94589996	44	460.00000000	1.89539119	good	4787	0
360	1804.20000000	100.00000000	good	72.17816925	44	460.00000000	0.56857776	mua	1436	0
361	1836.40000000	100.00000000	mua	73.16987610	43	460.00000000	0.85761799	mua	2166	0
366	2014.90000000	100.00000000	mua	82.75973511	45	480.00000000	0.27439024	mua	693	0
369	1593.90000000	100.00000000	mua	71.73309326	43	460.00000000	0.46404815	mua	1172	0
371	2928.40000000	100.00000000	mua	84.69095612	46	480.00000000	0.06572696	mua	166	0
374	1653.80000000	100.00000000	mua	73.23538208	44	460.00000000	0.10373773	mua	262	0
375	2237.70000000	100.00000000	good	89.77435303	43	460.00000000	0.35001584	mua	884	0
376	2729.60000000	100.00000000	mua	91.24276733	45	480.00000000	0.06572696	mua	166	0
377	1750.90000000	100.00000000	mua	79.69595337	45	480.00000000	0.33972125	good	858	0
382	1718.10000000	100.00000000	mua	73.27480316	44	460.00000000	0.13462148	mua	340	0
385	1318.50000000	100.00000000	mua	53.69710159	45	480.00000000	0.17579981	mua	444	0
388	1345.50000000	100.00000000	mua	59.09164429	45	480.00000000	0.17025657	mua	430	0
389	1883.90000000	100.00000000	mua	68.25111389	48	500.00000000	0.13897688	mua	351	0
